CONCEPT,PARENT
Cell signaling,Cell surface receptor
Signal transduction,Cell surface receptor
Ligand,Cell surface receptor
Receptor,Cell surface receptor
Cell membrane,Cell surface receptor
Lipid bilayer,Cell surface receptor
Phospholipids,Cell surface receptor
Integral membrane proteins,Cell surface receptor
Peripheral membrane proteins,Cell surface receptor
Transmembrane proteins,Cell surface receptor
Cell surface receptors,Cell surface receptor
G protein-coupled receptors (GPCRs),Cell surface receptor
Ion channels,Cell surface receptor
Enzyme-linked receptors,Cell surface receptor
Ligand-gated ion channels,Cell surface receptor
Second messengers,Cell surface receptor
Kinases,Cell surface receptor
Phosphorylation,Cell surface receptor
Signal amplification,Cell surface receptor
Signal termination,Cell surface receptor
Hormones,Cell surface receptor
Growth factors,Cell surface receptor
Cytokines,Cell surface receptor
Neurotransmitters,Cell surface receptor
Cell adhesion molecules,Cell surface receptor
Extracellular matrix,Cell surface receptor
Cell-cell communication,Cell surface receptor
Cell-cell recognition,Cell surface receptor
Cell adhesion,Cell surface receptor
Cell migration,Cell surface receptor
Cell differentiation,Cell surface receptor
Cell proliferation,Cell surface receptor
DNA,Intracellular receptor
RNA,Intracellular receptor
Protein synthesis,Intracellular receptor
Gene expression,Intracellular receptor
Transcription,Intracellular receptor
Translation,Intracellular receptor
Genetic code,Intracellular receptor
Chromatin,Intracellular receptor
Chromosome,Intracellular receptor
Nucleotide,Intracellular receptor
Amino acid,Intracellular receptor
Peptide bond,Intracellular receptor
Protein structure,Intracellular receptor
Enzyme,Intracellular receptor
Cell signaling,Intracellular receptor
Hormone,Intracellular receptor
Ligand,Intracellular receptor
Receptor,Intracellular receptor
Signal transduction,Intracellular receptor
Nuclear localization signal,Intracellular receptor
Cytoplasm,Intracellular receptor
Nucleus,Intracellular receptor
Cell membrane,Intracellular receptor
Endoplasmic reticulum,Intracellular receptor
Golgi apparatus,Intracellular receptor
Vesicle,Intracellular receptor
Secretion,Intracellular receptor
Endocytosis,Intracellular receptor
Exocytosis,Intracellular receptor
Phosphorylation,Intracellular receptor
Kinase,Intracellular receptor
Phosphatase,Intracellular receptor
G protein,Intracellular receptor
Second messenger,Intracellular receptor
Cyclic adenosine monophosphate (cAMP),Intracellular receptor
Protein kinase A,Intracellular receptor
Steroid hormone,Intracellular receptor
Lipid-soluble,Intracellular receptor
Hormone-receptor complex,Intracellular receptor
Gene regulation,Intracellular receptor
Nuclear receptor,Intracellular receptor
Ligand binding domain,Intracellular receptor
"DNA binding domain
44",Intracellular receptor
DNA,Synaptic signaling
RNA,Synaptic signaling
Protein synthesis,Synaptic signaling
Gene expression,Synaptic signaling
Transcription,Synaptic signaling
Translation,Synaptic signaling
Genetic code,Synaptic signaling
Central dogma,Synaptic signaling
Chromosomes,Synaptic signaling
Genes,Synaptic signaling
Nucleotides,Synaptic signaling
Amino acids,Synaptic signaling
Codons,Synaptic signaling
Mutations,Synaptic signaling
DNA replication,Synaptic signaling
Cell signaling,Synaptic signaling
Receptors,Synaptic signaling
Ligands,Synaptic signaling
Signal transduction,Synaptic signaling
Second messengers,Synaptic signaling
G-proteins,Synaptic signaling
Enzymes,Synaptic signaling
Phosphorylation,Synaptic signaling
Dephosphorylation,Synaptic signaling
Ion channels,Synaptic signaling
Neurotransmitters,Synaptic signaling
Synapses,Synaptic signaling
Neurotransmitter receptors,Synaptic signaling
Neurotransmitter release,Synaptic signaling
Neurotransmitter reuptake,Synaptic signaling
Neurotransmitter degradation,Synaptic signaling
Excitatory signaling,Synaptic signaling
Inhibitory signaling,Synaptic signaling
Action potential,Synaptic signaling
Neurotransmitter transporters,Synaptic signaling
Synaptic plasticity,Synaptic signaling
Long-term potentiation (LTP),Synaptic signaling
Long-term depression (LTD),Synaptic signaling
Neurotransmitter receptors,Synaptic signaling
Postsynaptic density,Synaptic signaling
Presynaptic terminal,Synaptic signaling
Postsyn,Synaptic signaling
DNA,Gap junction
RNA,Gap junction
Gene expression,Gap junction
Protein synthesis,Gap junction
Transcription,Gap junction
Translation,Gap junction
Genetic code,Gap junction
Nucleotides,Gap junction
Amino acids,Gap junction
Codons,Gap junction
Chromosomes,Gap junction
Cell division,Gap junction
Cell signaling,Gap junction
Cell communication,Gap junction
Cell junctions,Gap junction
Intercellular communication,Gap junction
Cell membrane,Gap junction
Membrane proteins,Gap junction
Cell adhesion,Gap junction
Cell adhesion molecules,Gap junction
Cell adhesion complexes,Gap junction
Connexins,Gap junction
Hemichannels,Gap junction
Channel proteins,Gap junction
Ion channels,Gap junction
Gap junction channels,Gap junction
Gap junction plaques,Gap junction
Connexons,Gap junction
Permeability,Gap junction
Selectivity,Gap junction
Electrical synapses,Gap junction
Chemical synapses,Gap junction
Neurotransmitters,Gap junction
Hormones,Gap junction
Gap junctional intercellular communication (GJIC),Gap junction
Gap junctional coupling,Gap junction
Gap junctional conductance,Gap junction
Gap junctional permeability,Gap junction
Gap junctional communication,Gap junction
Gap junctional communication channels,Gap junction
DNA,Hormone
RNA,Hormone
Gene expression,Hormone
Protein synthesis,Hormone
Transcription,Hormone
Translation,Hormone
Genetic code,Hormone
Chromosomes,Hormone
Nucleotides,Hormone
Amino acids,Hormone
Codons,Hormone
Mutations,Hormone
Genetic variation,Hormone
Cell signaling,Hormone
Receptors,Hormone
Signal transduction,Hormone
Enzymes,Hormone
Metabolism,Hormone
Cell cycle,Hormone
Cell division,Hormone
Gene regulation,Hormone
Epigenetics,Hormone
Gene editing,Hormone
Recombinant DNA technology,Hormone
Cloning,Hormone
Polymerase chain reaction (PCR),Hormone
Gel electrophoresis,Hormone
DNA sequencing,Hormone
Bioinformatics,Hormone
Proteomics,Hormone
DNA,Neurotransmitter
RNA,Neurotransmitter
Protein synthesis,Neurotransmitter
Gene expression,Neurotransmitter
Transcription,Neurotransmitter
Translation,Neurotransmitter
Genetic code,Neurotransmitter
Amino acids,Neurotransmitter
Peptide bonds,Neurotransmitter
Enzymes,Neurotransmitter
Nucleotides,Neurotransmitter
Chromosomes,Neurotransmitter
Genes,Neurotransmitter
Mutations,Neurotransmitter
DNA replication,Neurotransmitter
Cell division,Neurotransmitter
Cell signaling,Neurotransmitter
Receptors,Neurotransmitter
Signal transduction,Neurotransmitter
Cell membrane,Neurotransmitter
Ion channels,Neurotransmitter
Neurotransmission,Neurotransmitter
Synaptic vesicles,Neurotransmitter
Neurotransmitter release,Neurotransmitter
Neurotransmitter receptors,Neurotransmitter
Neurotransmitter degradation,Neurotransmitter
Neurotransmitter reuptake,Neurotransmitter
Neurotransmitter transporters,Neurotransmitter
Neurotransmitter signaling pathways,Neurotransmitter
Neurotransmitter balance,Neurotransmitter
Excitatory neurotransmitters,Neurotransmitter
Inhibitory neurotransmitters,Neurotransmitter
Neurotransmitter agonists,Neurotransmitter
Neurotransmitter antagonists,Neurotransmitter
Neurotransmitter function in the nervous system,Neurotransmitter
Neurotransmitter disorders,Neurotransmitter
Neurotransmitter drugs,Neurotransmitter
Neurotransmitter research methods,Neurotransmitter
Neurotransmitter regulation,Neurotransmitter
Neurotransmitter interactions.,Neurotransmitter
DNA,Cytokine
RNA,Cytokine
Gene expression,Cytokine
Transcription,Cytokine
Translation,Cytokine
Protein synthesis,Cytokine
Genetic code,Cytokine
Codon,Cytokine
Amino acids,Cytokine
Peptide bond,Cytokine
Polypeptide chain,Cytokine
Post-translational modification,Cytokine
Signal transduction,Cytokine
Cell signaling,Cytokine
Receptor,Cytokine
Ligand,Cytokine
Cell surface receptors,Cytokine
Intracellular receptors,Cytokine
Signal transduction pathways,Cytokine
Gene regulation,Cytokine
Transcription factors,Cytokine
Promoter,Cytokine
Enhancer,Cytokine
Repressor,Cytokine
Epigenetics,Cytokine
Chromatin,Cytokine
Histones,Cytokine
Methylation,Cytokine
Acetylation,Cytokine
Gene expression regulation,Cytokine
Cell cycle,Cytokine
Mitosis,Cytokine
Meiosis,Cytokine
Cell division,Cytokine
Cell differentiation,Cytokine
Stem cells,Cytokine
Apoptosis,Cytokine
Cell death,Cytokine
Cell proliferation,Cytokine
Cell migration,Cytokine
Cell adhesion,Cytokine
Cell communication,Cytokine
Cell metabolism,Cytokine
Enzymes,Cytokine
Metabolic pathways,Cytokine
Metabolites,Cytokine
Metabolism regulation,Cytokine
DNA,G protein-coupled receptor
RNA,G protein-coupled receptor
Protein synthesis,G protein-coupled receptor
Gene expression,G protein-coupled receptor
Transcription,G protein-coupled receptor
Translation,G protein-coupled receptor
Amino acids,G protein-coupled receptor
Peptide bonds,G protein-coupled receptor
Protein structure,G protein-coupled receptor
Cell signaling,G protein-coupled receptor
Signal transduction,G protein-coupled receptor
Cell membrane,G protein-coupled receptor
Receptor,G protein-coupled receptor
Ligand,G protein-coupled receptor
Second messenger,G protein-coupled receptor
G protein,G protein-coupled receptor
GTPase activity,G protein-coupled receptor
Adenylate cyclase,G protein-coupled receptor
cAMP,G protein-coupled receptor
Phosphorylation,G protein-coupled receptor
Kinase,G protein-coupled receptor
Phosphatase,G protein-coupled receptor
G protein-coupled receptor (GPCR),G protein-coupled receptor
Seven transmembrane domain,G protein-coupled receptor
Conformational change,G protein-coupled receptor
Agonist,G protein-coupled receptor
Antagonist,G protein-coupled receptor
Desensitization,G protein-coupled receptor
Internalization,G protein-coupled receptor
Downstream effectors,G protein-coupled receptor
DNA,Signal transduction complex
RNA,Signal transduction complex
Protein,Signal transduction complex
Gene expression,Signal transduction complex
Transcription,Signal transduction complex
Translation,Signal transduction complex
Genetic code,Signal transduction complex
Central dogma,Signal transduction complex
Chromosome,Signal transduction complex
Gene,Signal transduction complex
Promoter,Signal transduction complex
Enhancer,Signal transduction complex
Transcription factor,Signal transduction complex
RNA polymerase,Signal transduction complex
mRNA,Signal transduction complex
Ribosome,Signal transduction complex
Amino acid,Signal transduction complex
Peptide bond,Signal transduction complex
Protein folding,Signal transduction complex
Post-translational modification,Signal transduction complex
Enzyme,Signal transduction complex
Substrate,Signal transduction complex
Active site,Signal transduction complex
Receptor,Signal transduction complex
Ligand,Signal transduction complex
Cell signaling,Signal transduction complex
Signal transduction,Signal transduction complex
Second messenger,Signal transduction complex
Phosphorylation,Signal transduction complex
Kinase,Signal transduction complex
Phosphatase,Signal transduction complex
G protein,Signal transduction complex
G protein-coupled receptor (GPCR),Signal transduction complex
Adenylyl cyclase,Signal transduction complex
cAMP,Signal transduction complex
Protein kinase A (PKA),Signal transduction complex
Phospholipase C (PLC),Signal transduction complex
Inositol triphosphate (IP3),Signal transduction complex
Diacylglycerol (DAG),Signal transduction complex
Protein kinase C (PKC),Signal transduction complex
Receptor tyrosine kinase,Signal transduction complex
DNA,Signal transduction network
RNA,Signal transduction network
Protein,Signal transduction network
Gene expression,Signal transduction network
Transcription,Signal transduction network
Translation,Signal transduction network
Genetic code,Signal transduction network
Central dogma,Signal transduction network
Chromosome,Signal transduction network
Genome,Signal transduction network
Mutation,Signal transduction network
Genetic variation,Signal transduction network
Gene regulation,Signal transduction network
Epigenetics,Signal transduction network
DNA replication,Signal transduction network
Cell cycle,Signal transduction network
Cell signaling,Signal transduction network
Receptor,Signal transduction network
Ligand,Signal transduction network
Enzyme,Signal transduction network
Phosphorylation,Signal transduction network
Kinase,Signal transduction network
Phosphatase,Signal transduction network
Second messenger,Signal transduction network
G protein,Signal transduction network
Ion channel,Signal transduction network
Signal transduction,Signal transduction network
Signal transduction pathway,Signal transduction network
Signal transduction cascade,Signal transduction network
Signal amplification,Signal transduction network
Signal integration,Signal transduction network
Feedback regulation,Signal transduction network
Positive feedback,Signal transduction network
Negative feedback,Signal transduction network
Hormone,Signal transduction network
Growth factor,Signal transduction network
Cytokine,Signal transduction network
Receptor tyrosine kinase,Signal transduction network
G protein-coupled receptor,Signal transduction network
Intracellular signaling molecules,Signal transduction network
Protein-protein interactions,Signal transduction network
Protein-DNA interactions,Signal transduction network
Transcription factor,Signal transduction network
Gene expression regulation,Signal transduction network
Post-translational modifications,Signal transduction network
DNA,Signal transduction feedback
RNA,Signal transduction feedback
Protein synthesis,Signal transduction feedback
Gene expression,Signal transduction feedback
Transcription,Signal transduction feedback
Translation,Signal transduction feedback
Genetic code,Signal transduction feedback
Central dogma,Signal transduction feedback
Cell signaling,Signal transduction feedback
Receptors,Signal transduction feedback
Ligands,Signal transduction feedback
Second messengers,Signal transduction feedback
Enzymes,Signal transduction feedback
Phosphorylation,Signal transduction feedback
Dephosphorylation,Signal transduction feedback
Kinases,Signal transduction feedback
Phosphatases,Signal transduction feedback
G-proteins,Signal transduction feedback
Adenylyl cyclase,Signal transduction feedback
cAMP,Signal transduction feedback
Protein kinases,Signal transduction feedback
Protein phosphatases,Signal transduction feedback
Signal transduction pathways,Signal transduction feedback
Feedback loops,Signal transduction feedback
Positive feedback,Signal transduction feedback
Negative feedback,Signal transduction feedback
Autocrine signaling,Signal transduction feedback
Paracrine signaling,Signal transduction feedback
Endocrine signaling,Signal transduction feedback
Intracellular signaling,Signal transduction feedback
Extracellular signaling,Signal transduction feedback
Cell surface receptors,Signal transduction feedback
Intracellular receptors,Signal transduction feedback
Signal amplification,Signal transduction feedback
Signal integration,Signal transduction feedback
Signal termination,Signal transduction feedback
Signal transduction cascades,Signal transduction feedback
Protein-protein interactions,Signal transduction feedback
Protein-DNA interactions,Signal transduction feedback
Gene regulation.,Signal transduction feedback
DNA replication,Signal transduction regulation
Gene expression,Signal transduction regulation
Protein synthesis,Signal transduction regulation
Transcription,Signal transduction regulation
Translation,Signal transduction regulation
Genetic code,Signal transduction regulation
RNA processing,Signal transduction regulation
Post-translational modifications,Signal transduction regulation
Enzymes,Signal transduction regulation
Receptors,Signal transduction regulation
